"cuestionario_hogar_id","personas_en_el_hogar","estado_entrevista"
"3811101",6,"1"
"3901701",3,"1"
"3901901",6,"1"
"3902101",1,"1"
"3902201",1,"1"
"3902501",2,"1"
"3905201",2,"1"
"3905301",3,"1"
"3905401",3,"1"
"3905501",5,"1"
"3905601",3,"1"
"3911301",3,"1"
"3911401",4,"1"
"3911501",2,"1"
"3911601",3,"1"
"3911701",2,"1"
"4007901",4,"1"
"4008001",9,"1"
"4008101",3,"1"
"4008401",3,"1"
"4008501",5,"1"
"4001001",7,"1"
"4001101",5,"1"
"4001201",6,"1"
"4001401",1,"1"
"4012101",4,"1"
"4012201",4,"1"
"4012301",5,"1"
"4012401",4,"1"
"4012501",3,"1"
"4216601",5,"1"
"4216801",3,"1"
"4217001",4,"1"
"4217301",5,"1"
"4208201",4,"1"
"4208301",1,"1"
"4208401",5,"1"
"4208701",2,"1"
"4208801",5,"1"
"4210401",5,"1"
"4210501",2,"1"
"4210601",5,"1"
"4210701",2,"1"
"4404901",3,"1"
"4405001",4,"1"
"4405101",3,"1"
"4405201",2,"1"
"4405301",3,"1"
"4406001",4,"1"
"4406101",7,"1"
"4406601",1,"1"
"4406701",5,"1"
"4406801",7,"1"
"4406901",4,"1"
"4407001",4,"1"
"4407101",3,"1"
"4407201",5,"1"
"4407301",5,"1"
"4503301",8,"1"
"4503401",3,"1"
"4503501",4,"1"
"4503601",4,"1"
"4503701",2,"1"
"4508401",4,"1"
"4508501",2,"1"
"4508701",3,"1"
"4508901",5,"1"
"4509001",3,"1"
"4500501",3,"1"
"4500601",6,"1"
"4500801",7,"1"
"4500901",3,"1"
"4800401",3,"1"
"4801001",3,"1"
"4801401",2,"1"
"4806301",4,"1"
"4806801",4,"1"
"4807001",3,"1"
"4807301",4,"1"
"4807801",4,"1"
"4808001",4,"1"
"4808401",5,"1"
"4808501",1,"1"
"4808901",3,"1"
"4809601",2,"1"
"4810401",4,"1"
"4810501",4,"1"
"4902901",4,"1"
"4903001",4,"1"
"4903201",3,"1"
"4904401",2,"1"
"4904501",11,"1"
"4905501",1,"1"
