"cuestionario_hogar_id","HV201","indice_riqueza"
"3101701",41,"1.muy_pobre"
"3101801",43,"1.muy_pobre"
"3102001",41,"1.muy_pobre"
"3116201",41,"1.muy_pobre"
"3116301",41,"1.muy_pobre"
"3116401",41,"1.muy_pobre"
"3116501",41,"1.muy_pobre"
"3117301",41,"1.muy_pobre"
"3303001",11,"3.medio"
"3303101",11,"1.muy_pobre"
"3303201",11,"1.muy_pobre"
"3303301",11,"1.muy_pobre"
"3303401",11,"1.muy_pobre"
"3308601",11,"1.muy_pobre"
"3308701",11,"1.muy_pobre"
"3308801",11,"1.muy_pobre"
"3308901",11,"1.muy_pobre"
"3309001",11,"1.muy_pobre"
"3309501",11,"1.muy_pobre"
"3309701",11,"1.muy_pobre"
"3309801",11,"1.muy_pobre"
"3309901",11,"2.pobre"
"3310001",11,"1.muy_pobre"
"3401201",41,"1.muy_pobre"
"3401301",41,"1.muy_pobre"
"3401401",41,"1.muy_pobre"
"3401501",41,"1.muy_pobre"
"3401601",41,"1.muy_pobre"
"3405501",11,"1.muy_pobre"
"3405601",11,"1.muy_pobre"
"3405901",96,"1.muy_pobre"
"3406001",41,"1.muy_pobre"
"3406201",41,"1.muy_pobre"
"3406401",96,"1.muy_pobre"
"3406501",11,"1.muy_pobre"
"3406601",11,"1.muy_pobre"
"3406701",11,"2.pobre"
"3406801",11,"2.pobre"
"3502001",11,"1.muy_pobre"
"3502101",11,"2.pobre"
"3502201",11,"1.muy_pobre"
"3502301",11,"1.muy_pobre"
"3502401",11,"1.muy_pobre"
"3504501",11,"1.muy_pobre"
"3504601",11,"1.muy_pobre"
"3504701",11,"1.muy_pobre"
"3504801",11,"1.muy_pobre"
"3505001",11,"1.muy_pobre"
"3508901",41,"1.muy_pobre"
"3509601",41,"1.muy_pobre"
"3509801",41,"1.muy_pobre"
"3603601",11,"2.pobre"
"3603701",11,"1.muy_pobre"
"3603901",11,"2.pobre"
"3604001",11,"2.pobre"
"3605401",11,"1.muy_pobre"
"3605501",11,"1.muy_pobre"
"3605601",11,"1.muy_pobre"
"3605701",11,"1.muy_pobre"
"3609301",11,"1.muy_pobre"
"3609401",11,"1.muy_pobre"
"3609501",41,"1.muy_pobre"
"3609601",11,"1.muy_pobre"
"3701701",11,"1.muy_pobre"
"3701801",11,"1.muy_pobre"
"3701901",43,"1.muy_pobre"
"3702101",11,"1.muy_pobre"
"3704701",11,"1.muy_pobre"
"3705001",96,"1.muy_pobre"
"3705101",11,"1.muy_pobre"
"3705201",11,"1.muy_pobre"
"3705301",11,"1.muy_pobre"
"3706201",11,"1.muy_pobre"
"3706501",11,"1.muy_pobre"
"3706601",11,"1.muy_pobre"
"3707201",11,"1.muy_pobre"
"3803501",11,"1.muy_pobre"
"3803601",11,"1.muy_pobre"
"3803901",11,"1.muy_pobre"
"3804201",11,"1.muy_pobre"
"3809701",11,"1.muy_pobre"
"3809801",11,"1.muy_pobre"
"3809901",11,"1.muy_pobre"
"3810001",11,"1.muy_pobre"
"3810801",11,"1.muy_pobre"
"3811001",11,"1.muy_pobre"
"3811101",11,"1.muy_pobre"
"3901701",11,"1.muy_pobre"
"3901901",11,"1.muy_pobre"
"3902101",11,"1.muy_pobre"
"3902201",11,"1.muy_pobre"
"3902501",11,"2.pobre"
"3905201",71,"2.pobre"
"3905301",96,"1.muy_pobre"
"3905401",71,"1.muy_pobre"
"3905501",11,"2.pobre"
"3905601",11,"1.muy_pobre"
"3911301",11,"2.pobre"
"3911401",11,"1.muy_pobre"
"3911501",11,"1.muy_pobre"
"3911601",11,"1.muy_pobre"
"3911701",11,"1.muy_pobre"
"4001001",11,"1.muy_pobre"
"4001101",11,"1.muy_pobre"
"4001201",11,"1.muy_pobre"
"4001401",11,"1.muy_pobre"
"4007901",11,"1.muy_pobre"
"4008001",11,"1.muy_pobre"
"4008101",11,"1.muy_pobre"
"4008401",11,"1.muy_pobre"
"4008501",11,"1.muy_pobre"
"4012101",11,"1.muy_pobre"
"4012201",51,"1.muy_pobre"
"4012301",11,"1.muy_pobre"
"4012401",11,"1.muy_pobre"
"4012501",11,"1.muy_pobre"
"4208201",11,"2.pobre"
"4208301",11,"2.pobre"
"4208401",11,"1.muy_pobre"
"4208701",11,"1.muy_pobre"
"4208801",11,"2.pobre"
"4210401",11,"1.muy_pobre"
"4210501",11,"2.pobre"
"4210601",11,"1.muy_pobre"
"4210701",11,"1.muy_pobre"
"4216601",11,"1.muy_pobre"
"4216801",11,"2.pobre"
"4217001",11,"1.muy_pobre"
"4217301",11,"1.muy_pobre"
"4404901",11,"1.muy_pobre"
"4405001",11,"2.pobre"
"4405101",11,"1.muy_pobre"
"4405201",11,"1.muy_pobre"
"4405301",11,"1.muy_pobre"
"4406001",11,"1.muy_pobre"
"4406101",11,"1.muy_pobre"
"4406601",11,"1.muy_pobre"
"4406701",11,"1.muy_pobre"
"4406801",11,"1.muy_pobre"
"4406901",11,"1.muy_pobre"
"4407001",11,"1.muy_pobre"
"4407101",11,"1.muy_pobre"
"4407201",11,"1.muy_pobre"
"4407301",11,"1.muy_pobre"
"4500501",11,"1.muy_pobre"
"4500601",11,"1.muy_pobre"
"4500801",11,"1.muy_pobre"
"4500901",11,"1.muy_pobre"
"4503301",11,"1.muy_pobre"
"4503401",11,"1.muy_pobre"
"4503501",96,"1.muy_pobre"
"4503601",11,"1.muy_pobre"
"4503701",11,"1.muy_pobre"
"4508401",96,"1.muy_pobre"
"4508501",11,"1.muy_pobre"
"4508701",11,"1.muy_pobre"
"4508901",11,"1.muy_pobre"
"4509001",11,"1.muy_pobre"
"4800401",11,"1.muy_pobre"
"4801001",11,"1.muy_pobre"
"4801401",96,"1.muy_pobre"
"4806301",11,"1.muy_pobre"
"4806801",11,"2.pobre"
"4807001",11,"1.muy_pobre"
"4807301",11,"2.pobre"
"4807801",11,"1.muy_pobre"
"4808001",12,"1.muy_pobre"
"4808401",11,"1.muy_pobre"
"4808501",96,"1.muy_pobre"
"4808901",11,"1.muy_pobre"
"4809601",11,"1.muy_pobre"
"4810401",11,"3.medio"
"4810501",12,"1.muy_pobre"
"4901501",11,"1.muy_pobre"
"4901701",11,"1.muy_pobre"
"4901801",11,"1.muy_pobre"
"4902901",11,"1.muy_pobre"
"4903001",11,"1.muy_pobre"
"4903201",11,"1.muy_pobre"
"4904401",11,"1.muy_pobre"
"4904501",11,"1.muy_pobre"
"4905501",11,"1.muy_pobre"
"4905601",11,"1.muy_pobre"
"4905701",11,"1.muy_pobre"
"4905801",11,"1.muy_pobre"
"4905901",11,"1.muy_pobre"
"5100501",11,"1.muy_pobre"
"5100801",11,"1.muy_pobre"
"5101301",11,"1.muy_pobre"
"5101401",11,"1.muy_pobre"
"5101501",11,"1.muy_pobre"
"5107801",11,"1.muy_pobre"
"5107901",11,"1.muy_pobre"
"5108001",11,"1.muy_pobre"
"5108101",11,"1.muy_pobre"
"5108201",11,"1.muy_pobre"
"5112601",11,"1.muy_pobre"
"5113101",11,"1.muy_pobre"
"5114501",11,"2.pobre"
"5114701",11,"3.medio"
"5114801",11,"1.muy_pobre"
"5301601",11,"1.muy_pobre"
"5301801",11,"1.muy_pobre"
"5301901",11,"1.muy_pobre"
"5302001",11,"1.muy_pobre"
"5308701",11,"1.muy_pobre"
"5309001",11,"1.muy_pobre"
"5309101",11,"1.muy_pobre"
"5309201",11,"1.muy_pobre"
"5309301",11,"1.muy_pobre"
"5311101",11,"2.pobre"
"5311301",11,"1.muy_pobre"
"5311501",11,"1.muy_pobre"
"5311601",11,"1.muy_pobre"
"5400101",11,"1.muy_pobre"
"5400201",11,"1.muy_pobre"
"5400301",11,"1.muy_pobre"
"5401701",11,"1.muy_pobre"
"5401801",11,"1.muy_pobre"
"5402801",11,"1.muy_pobre"
"5402901",11,"1.muy_pobre"
"5402902",12,"1.muy_pobre"
"5403001",11,"1.muy_pobre"
"5403101",11,"1.muy_pobre"
"5403201",11,"1.muy_pobre"
"5406301",11,"1.muy_pobre"
"5406401",11,"1.muy_pobre"
"5406501",11,"1.muy_pobre"
"5406701",11,"1.muy_pobre"
"5701601",11,"1.muy_pobre"
"5701701",11,"1.muy_pobre"
"5701801",11,"1.muy_pobre"
"5701901",41,"1.muy_pobre"
"5702001",11,"1.muy_pobre"
"5706601",11,"1.muy_pobre"
